Name	Top	Mid	Bot
BTC_Face#27	headband	pixel_sunglasses	mouth
ETH_Face#81	none	eyes	blusher
BNB_Face#84	none	pirate_eyepatch	blusher
USDT_Face#94	fedora	round_glasses	blusher
SOL_Face#21	none	eyes	mouth
USDC_Face#67	headband	pixel_sunglasses	beard
ADA_Face#18	crown	round_glasses	none
XRP_Face#38	crown	round_glasses	mouth
LUNA_Face#18	crown	round_glasses	none
DOT_Face#76	fedora	pirate_eyepatch	beard
AVAX_Face#20	crown	pirate_eyepatch	none
DOGE_Face#47	headband	pixel_sunglasses	mustache
MATIC_Face#18	crown	round_glasses	none
SHIB_Face#38	crown	round_glasses	mouth
BUSD_Face#25	headband	eyes	mouth
CRO_Face#85	headband	eyes	blusher
LINK_Face#8	headband	pirate_eyepatch	none
WBTC_Face#72	headset	pirate_eyepatch	beard
NEAR_Face#54	fedora	round_glasses	mustache
UST_Face#86	headband	round_glasses	blusher
UNI_Face#71	headset	pixel_sunglasses	beard
LTC_Face#24	none	pirate_eyepatch	mouth
DAI_Face#3	none	pixel_sunglasses	none
ALGO_Face#27	headband	pixel_sunglasses	mouth
ATOM_Face#27	headband	pixel_sunglasses	mouth
FTM_Face#42	none	round_glasses	mustache
BCH_Face#9	headset	eyes	none
XLM_Face#90	headset	round_glasses	blusher
TRX_Face#68	headband	pirate_eyepatch	beard
ICP_Face#74	fedora	round_glasses	beard
FTT_Face#21	none	eyes	mouth
MANA_Face#18	crown	round_glasses	none
VET_Face#23	none	pixel_sunglasses	mouth
HBAR_Face#57	crown	eyes	mustache
SAND_Face#15	fedora	pixel_sunglasses	none
AXS_Face#41	none	eyes	mustache
BTCB_Face#60	crown	pirate_eyepatch	mustache
FIL_Face#62	none	round_glasses	beard
THETA_Face#41	none	eyes	mustache
EGLD_Face#23	none	pixel_sunglasses	mouth
ONE_Face#80	crown	pirate_eyepatch	beard
ETC_Face#43	none	pixel_sunglasses	mustache
XMR_Face#84	none	pirate_eyepatch	blusher
KLAY_Face#21	none	eyes	mouth
XTZ_Face#43	none	pixel_sunglasses	mustache
LEO_Face#1	none	eyes	none
HNT_Face#72	headset	pirate_eyepatch	beard
MIOTA_Face#18	crown	round_glasses	none
AAVE_Face#94	fedora	round_glasses	blusher
CAKE_Face#77	crown	eyes	beard
GRT_Face#81	none	eyes	blusher
EOS_Face#72	headset	pirate_eyepatch	beard
STX_Face#83	none	pixel_sunglasses	blusher
BTT_Face#20	crown	pirate_eyepatch	none
FLOW_Face#37	crown	eyes	mouth
GALA_Face#29	headset	eyes	mouth
KSM_Face#93	fedora	eyes	blusher
RUNE_Face#53	fedora	eyes	mustache
CRV_Face#44	none	pirate_eyepatch	mustache
ENJ_Face#39	crown	pixel_sunglasses	mouth
MKR_Face#89	headset	eyes	blusher
BSV_Face#84	none	pirate_eyepatch	blusher
LRC_Face#77	crown	eyes	beard
QNT_Face#65	headband	eyes	beard
CELO_Face#18	crown	round_glasses	none
ZEC_Face#38	crown	round_glasses	mouth
XEC_Face#9	headset	eyes	none
ROSE_Face#18	crown	round_glasses	none
AMP_Face#30	headset	round_glasses	mouth
AR_Face#73	fedora	eyes	beard
KDA_Face#82	none	round_glasses	blusher
NEO_Face#42	none	round_glasses	mustache
CHZ_Face#77	crown	eyes	beard
BAT_Face#50	headset	round_glasses	mustache
KCS_Face#86	headband	round_glasses	blusher
OKB_Face#37	crown	eyes	mouth
WAVES_Face#39	crown	pixel_sunglasses	mouth
HT_Face#6	headband	round_glasses	none
DASH_Face#10	headset	round_glasses	none
TUSD_Face#69	headset	eyes	beard
NEXO_Face#38	crown	round_glasses	mouth
COMP_Face#74	fedora	round_glasses	beard
YFI_Face#73	fedora	eyes	beard
MINA_Face#7	headband	pixel_sunglasses	none
XDC_Face#95	fedora	pixel_sunglasses	blusher
HOT_Face#82	none	round_glasses	blusher
XEM_Face#70	headset	round_glasses	beard
1INCH_Face#17	crown	eyes	none
RVN_Face#96	fedora	pirate_eyepatch	blusher
IOTX_Face#66	headband	round_glasses	beard
SCRT_Face#26	headband	round_glasses	mouth
SUSHI_Face#76	fedora	pirate_eyepatch	beard
USDP_Face#26	headband	round_glasses	mouth
TFUEL_Face#76	fedora	pirate_eyepatch	beard
WOO_Face#14	fedora	round_glasses	none
VLX_Face#89	headset	eyes	blusher
OMG_Face#42	none	round_glasses	mustache
BNT_Face#32	headset	pirate_eyepatch	mouth
BORA_Face#12	headset	pirate_eyepatch	none
DCR_Face#15	fedora	pixel_sunglasses	none
