name,top,mid,bot
BTC_Face#87,headband,pixel_sunglasses,blusher
BTC_Face#3,none,pixel_sunglasses,none
BTC_Face#56,fedora,pirate_eyepatch,mustache
BTC_Face#76,fedora,pirate_eyepatch,beard
BTC_Face#94,fedora,round_glasses,blusher
BTC_Face#17,crown,eyes,none
BTC_Face#74,fedora,round_glasses,beard
BTC_Face#55,fedora,pixel_sunglasses,mustache
BTC_Face#96,fedora,pirate_eyepatch,blusher
BTC_Face#54,fedora,round_glasses,mustache
ETH_Face#85,headband,eyes,blusher
ETH_Face#34,fedora,round_glasses,mouth
ETH_Face#82,none,round_glasses,blusher
ETH_Face#94,fedora,round_glasses,blusher
ETH_Face#18,crown,round_glasses,none
ETH_Face#37,crown,eyes,mouth
ETH_Face#83,none,pixel_sunglasses,blusher
ETH_Face#70,headset,round_glasses,beard
ETH_Face#66,headband,round_glasses,beard
ETH_Face#93,fedora,eyes,blusher
BNB_Face#31,headset,pixel_sunglasses,mouth
BNB_Face#57,crown,eyes,mustache
BNB_Face#25,headband,eyes,mouth
BNB_Face#17,crown,eyes,none
BNB_Face#24,none,pirate_eyepatch,mouth
BNB_Face#3,none,pixel_sunglasses,none
BNB_Face#28,headband,pirate_eyepatch,mouth
BNB_Face#29,headset,eyes,mouth
BNB_Face#14,fedora,round_glasses,none
BNB_Face#100,crown,pirate_eyepatch,blusher
USDT_Face#68,headband,pirate_eyepatch,beard
USDT_Face#7,headband,pixel_sunglasses,none
USDT_Face#65,headband,eyes,beard
USDT_Face#97,crown,eyes,blusher
USDT_Face#84,none,pirate_eyepatch,blusher
USDT_Face#99,crown,pixel_sunglasses,blusher
USDT_Face#43,none,pixel_sunglasses,mustache
USDT_Face#26,headband,round_glasses,mouth
USDT_Face#16,fedora,pirate_eyepatch,none
USDT_Face#78,crown,round_glasses,beard
SOL_Face#11,headset,pixel_sunglasses,none
SOL_Face#97,crown,eyes,blusher
SOL_Face#17,crown,eyes,none
SOL_Face#64,none,pirate_eyepatch,beard
SOL_Face#25,headband,eyes,mouth
SOL_Face#54,fedora,round_glasses,mustache
SOL_Face#98,crown,round_glasses,blusher
SOL_Face#42,none,round_glasses,mustache
SOL_Face#48,headband,pirate_eyepatch,mustache
SOL_Face#44,none,pirate_eyepatch,mustache
USDC_Face#33,fedora,eyes,mouth
USDC_Face#47,headband,pixel_sunglasses,mustache
USDC_Face#29,headset,eyes,mouth
USDC_Face#75,fedora,pixel_sunglasses,beard
USDC_Face#24,none,pirate_eyepatch,mouth
USDC_Face#11,headset,pixel_sunglasses,none
USDC_Face#21,none,eyes,mouth
USDC_Face#18,crown,round_glasses,none
USDC_Face#36,fedora,pirate_eyepatch,mouth
USDC_Face#98,crown,round_glasses,blusher
ADA_Face#35,fedora,pixel_sunglasses,mouth
ADA_Face#1,none,eyes,none
ADA_Face#46,headband,round_glasses,mustache
ADA_Face#61,none,eyes,beard
ADA_Face#87,headband,pixel_sunglasses,blusher
ADA_Face#21,none,eyes,mouth
ADA_Face#48,headband,pirate_eyepatch,mustache
ADA_Face#45,headband,eyes,mustache
ADA_Face#82,none,round_glasses,blusher
ADA_Face#62,none,round_glasses,beard
XRP_Face#27,headband,pixel_sunglasses,mouth
XRP_Face#79,crown,pixel_sunglasses,beard
XRP_Face#92,headset,pirate_eyepatch,blusher
XRP_Face#50,headset,round_glasses,mustache
XRP_Face#16,fedora,pirate_eyepatch,none
XRP_Face#94,fedora,round_glasses,blusher
XRP_Face#72,headset,pirate_eyepatch,beard
XRP_Face#87,headband,pixel_sunglasses,blusher
XRP_Face#23,none,pixel_sunglasses,mouth
XRP_Face#14,fedora,round_glasses,none
LUNA_Face#24,none,pirate_eyepatch,mouth
LUNA_Face#2,none,round_glasses,none
LUNA_Face#45,headband,eyes,mustache
LUNA_Face#56,fedora,pirate_eyepatch,mustache
LUNA_Face#100,crown,pirate_eyepatch,blusher
LUNA_Face#87,headband,pixel_sunglasses,blusher
LUNA_Face#30,headset,round_glasses,mouth
LUNA_Face#63,none,pixel_sunglasses,beard
LUNA_Face#34,fedora,round_glasses,mouth
LUNA_Face#99,crown,pixel_sunglasses,blusher
DOT_Face#43,none,pixel_sunglasses,mustache
DOT_Face#47,headband,pixel_sunglasses,mustache
DOT_Face#69,headset,eyes,beard
DOT_Face#4,none,pirate_eyepatch,none
DOT_Face#40,crown,pirate_eyepatch,mouth
DOT_Face#24,none,pirate_eyepatch,mouth
DOT_Face#21,none,eyes,mouth
DOT_Face#71,headset,pixel_sunglasses,beard
DOT_Face#74,fedora,round_glasses,beard
DOT_Face#42,none,round_glasses,mustache
AVAX_Face#15,fedora,pixel_sunglasses,none
AVAX_Face#44,none,pirate_eyepatch,mustache
AVAX_Face#38,crown,round_glasses,mouth
AVAX_Face#67,headband,pixel_sunglasses,beard
AVAX_Face#4,none,pirate_eyepatch,none
AVAX_Face#80,crown,pirate_eyepatch,beard
AVAX_Face#42,none,round_glasses,mustache
AVAX_Face#39,crown,pixel_sunglasses,mouth
AVAX_Face#69,headset,eyes,beard
AVAX_Face#3,none,pixel_sunglasses,none
DOGE_Face#50,headset,round_glasses,mustache
DOGE_Face#23,none,pixel_sunglasses,mouth
DOGE_Face#59,crown,pixel_sunglasses,mustache
DOGE_Face#42,none,round_glasses,mustache
DOGE_Face#99,crown,pixel_sunglasses,blusher
DOGE_Face#63,none,pixel_sunglasses,beard
DOGE_Face#30,headset,round_glasses,mouth
DOGE_Face#31,headset,pixel_sunglasses,mouth
DOGE_Face#52,headset,pirate_eyepatch,mustache
DOGE_Face#90,headset,round_glasses,blusher
MATIC_Face#42,none,round_glasses,mustache
MATIC_Face#93,fedora,eyes,blusher
MATIC_Face#15,fedora,pixel_sunglasses,none
MATIC_Face#69,headset,eyes,beard
MATIC_Face#32,headset,pirate_eyepatch,mouth
MATIC_Face#90,headset,round_glasses,blusher
MATIC_Face#16,fedora,pirate_eyepatch,none
MATIC_Face#22,none,round_glasses,mouth
MATIC_Face#61,none,eyes,beard
