Name	Top	Mid	Bot
BTC_Face#93	fedora	eyes	blusher
BTC_Face#79	crown	pixel_sunglasses	beard
BTC_Face#14	fedora	round_glasses	none
BTC_Face#8	headband	pirate_eyepatch	none
BTC_Face#31	headset	pixel_sunglasses	mouth
BTC_Face#23	none	pixel_sunglasses	mouth
BTC_Face#25	headband	eyes	mouth
BTC_Face#34	fedora	round_glasses	mouth
BTC_Face#9	headset	eyes	none
BTC_Face#44	none	pirate_eyepatch	mustache
ETH_Face#40	crown	pirate_eyepatch	mouth
ETH_Face#57	crown	eyes	mustache
ETH_Face#53	fedora	eyes	mustache
ETH_Face#52	headset	pirate_eyepatch	mustache
ETH_Face#33	fedora	eyes	mouth
ETH_Face#32	headset	pirate_eyepatch	mouth
ETH_Face#45	headband	eyes	mustache
ETH_Face#79	crown	pixel_sunglasses	beard
ETH_Face#11	headset	pixel_sunglasses	none
ETH_Face#3	none	pixel_sunglasses	none
BNB_Face#93	fedora	eyes	blusher
BNB_Face#77	crown	eyes	beard
BNB_Face#15	fedora	pixel_sunglasses	none
BNB_Face#1	none	eyes	none
BNB_Face#22	none	round_glasses	mouth
BNB_Face#4	none	pirate_eyepatch	none
BNB_Face#30	headset	round_glasses	mouth
BNB_Face#62	none	round_glasses	beard
BNB_Face#80	crown	pirate_eyepatch	beard
BNB_Face#36	fedora	pirate_eyepatch	mouth
USDT_Face#10	headset	round_glasses	none
USDT_Face#72	headset	pirate_eyepatch	beard
USDT_Face#98	crown	round_glasses	blusher
USDT_Face#35	fedora	pixel_sunglasses	mouth
USDT_Face#76	fedora	pirate_eyepatch	beard
USDT_Face#83	none	pixel_sunglasses	blusher
USDT_Face#24	none	pirate_eyepatch	mouth
USDT_Face#60	crown	pirate_eyepatch	mustache
USDT_Face#46	headband	round_glasses	mustache
USDT_Face#74	fedora	round_glasses	beard
SOL_Face#3	none	pixel_sunglasses	none
SOL_Face#96	fedora	pirate_eyepatch	blusher
SOL_Face#27	headband	pixel_sunglasses	mouth
SOL_Face#14	fedora	round_glasses	none
SOL_Face#38	crown	round_glasses	mouth
SOL_Face#15	fedora	pixel_sunglasses	none
SOL_Face#30	headset	round_glasses	mouth
SOL_Face#36	fedora	pirate_eyepatch	mouth
SOL_Face#55	fedora	pixel_sunglasses	mustache
SOL_Face#81	none	eyes	blusher
USDC_Face#38	crown	round_glasses	mouth
USDC_Face#71	headset	pixel_sunglasses	beard
USDC_Face#41	none	eyes	mustache
USDC_Face#61	none	eyes	beard
USDC_Face#35	fedora	pixel_sunglasses	mouth
USDC_Face#43	none	pixel_sunglasses	mustache
