Name,Top,Mid,Bot
BTC_Face#60,crown,pirate_eyepatch,mustache
BTC_Face#1,none,eyes,none
BTC_Face#35,fedora,pixel_sunglasses,mouth
BTC_Face#29,headset,eyes,mouth
BTC_Face#51,headset,pixel_sunglasses,mustache
BTC_Face#12,headset,pirate_eyepatch,none
BTC_Face#36,fedora,pirate_eyepatch,mouth
BTC_Face#24,none,pirate_eyepatch,mouth
BTC_Face#53,fedora,eyes,mustache
BTC_Face#11,headset,pixel_sunglasses,none
ETH_Face#56,fedora,pirate_eyepatch,mustache
ETH_Face#25,headband,eyes,mouth
ETH_Face#5,headband,eyes,none
ETH_Face#59,crown,pixel_sunglasses,mustache
ETH_Face#50,headset,round_glasses,mustache
ETH_Face#22,none,round_glasses,mouth
ETH_Face#88,headband,pirate_eyepatch,blusher
ETH_Face#4,none,pirate_eyepatch,none
ETH_Face#75,fedora,pixel_sunglasses,beard
ETH_Face#31,headset,pixel_sunglasses,mouth
BNB_Face#97,crown,eyes,blusher
BNB_Face#18,crown,round_glasses,none
BNB_Face#60,crown,pirate_eyepatch,mustache
BNB_Face#58,crown,round_glasses,mustache
BNB_Face#42,none,round_glasses,mustache
BNB_Face#65,headband,eyes,beard
BNB_Face#46,headband,round_glasses,mustache
BNB_Face#98,crown,round_glasses,blusher
BNB_Face#9,headset,eyes,none
BNB_Face#72,headset,pirate_eyepatch,beard
USDT_Face#71,headset,pixel_sunglasses,beard
USDT_Face#81,none,eyes,blusher
USDT_Face#62,none,round_glasses,beard
USDT_Face#19,crown,pixel_sunglasses,none
USDT_Face#92,headset,pirate_eyepatch,blusher
USDT_Face#58,crown,round_glasses,mustache
USDT_Face#96,fedora,pirate_eyepatch,blusher
USDT_Face#55,fedora,pixel_sunglasses,mustache
USDT_Face#56,fedora,pirate_eyepatch,mustache
USDT_Face#29,headset,eyes,mouth
SOL_Face#49,headset,eyes,mustache
SOL_Face#18,crown,round_glasses,none
SOL_Face#69,headset,eyes,beard
SOL_Face#32,headset,pirate_eyepatch,mouth
SOL_Face#35,fedora,pixel_sunglasses,mouth
SOL_Face#16,fedora,pirate_eyepatch,none
SOL_Face#52,headset,pirate_eyepatch,mustache
SOL_Face#87,headband,pixel_sunglasses,blusher
SOL_Face#83,none,pixel_sunglasses,blusher
SOL_Face#29,headset,eyes,mouth
USDC_Face#46,headband,round_glasses,mustache
USDC_Face#84,none,pirate_eyepatch,blusher
USDC_Face#68,headband,pirate_eyepatch,beard
USDC_Face#90,headset,round_glasses,blusher
USDC_Face#87,headband,pixel_sunglasses,blusher
USDC_Face#50,headset,round_glasses,mustache
USDC_Face#83,none,pixel_sunglasses,blusher
USDC_Face#60,crown,pirate_eyepatch,mustache
USDC_Face#20,crown,pirate_eyepatch,none
USDC_Face#82,none,round_glasses,blusher
ADA_Face#12,headset,pirate_eyepatch,none
ADA_Face#22,none,round_glasses,mouth
ADA_Face#4,none,pirate_eyepatch,none
ADA_Face#100,crown,pirate_eyepatch,blusher
ADA_Face#73,fedora,eyes,beard
