BTC_Face#1 ['none', 'eyes', 'none']
BTC_Face#2 ['none', 'round_glasses', 'none']
BTC_Face#3 ['none', 'pixel_sunglasses', 'none']
BTC_Face#4 ['none', 'pirate_eyepatch', 'none']
BTC_Face#5 ['headband', 'eyes', 'none']
BTC_Face#6 ['headband', 'round_glasses', 'none']
BTC_Face#7 ['headband', 'pixel_sunglasses', 'none']
BTC_Face#8 ['headband', 'pirate_eyepatch', 'none']
BTC_Face#9 ['headset', 'eyes', 'none']
BTC_Face#10 ['headset', 'round_glasses', 'none']
BTC_Face#11 ['headset', 'pixel_sunglasses', 'none']
BTC_Face#12 ['headset', 'pirate_eyepatch', 'none']
BTC_Face#13 ['fedora', 'eyes', 'none']
BTC_Face#14 ['fedora', 'round_glasses', 'none']
BTC_Face#15 ['fedora', 'pixel_sunglasses', 'none']
BTC_Face#16 ['fedora', 'pirate_eyepatch', 'none']
BTC_Face#17 ['crown', 'eyes', 'none']
BTC_Face#18 ['crown', 'round_glasses', 'none']
BTC_Face#19 ['crown', 'pixel_sunglasses', 'none']
BTC_Face#20 ['crown', 'pirate_eyepatch', 'none']
BTC_Face#21 ['none', 'eyes', 'mouth']
BTC_Face#22 ['none', 'round_glasses', 'mouth']
BTC_Face#23 ['none', 'pixel_sunglasses', 'mouth']
BTC_Face#24 ['none', 'pirate_eyepatch', 'mouth']
BTC_Face#25 ['headband', 'eyes', 'mouth']
BTC_Face#26 ['headband', 'round_glasses', 'mouth']
BTC_Face#27 ['headband', 'pixel_sunglasses', 'mouth']
BTC_Face#28 ['headband', 'pirate_eyepatch', 'mouth']
BTC_Face#29 ['headset', 'eyes', 'mouth']
BTC_Face#30 ['headset', 'round_glasses', 'mouth']
BTC_Face#31 ['headset', 'pixel_sunglasses', 'mouth']
BTC_Face#32 ['headset', 'pirate_eyepatch', 'mouth']
BTC_Face#33 ['fedora', 'eyes', 'mouth']
BTC_Face#34 ['fedora', 'round_glasses', 'mouth']
BTC_Face#35 ['fedora', 'pixel_sunglasses', 'mouth']
BTC_Face#36 ['fedora', 'pirate_eyepatch', 'mouth']
BTC_Face#37 ['crown', 'eyes', 'mouth']
BTC_Face#38 ['crown', 'round_glasses', 'mouth']
BTC_Face#39 ['crown', 'pixel_sunglasses', 'mouth']
BTC_Face#40 ['crown', 'pirate_eyepatch', 'mouth']
BTC_Face#41 ['none', 'eyes', 'mustache']
BTC_Face#42 ['none', 'round_glasses', 'mustache']
BTC_Face#43 ['none', 'pixel_sunglasses', 'mustache']
BTC_Face#44 ['none', 'pirate_eyepatch', 'mustache']
BTC_Face#45 ['headband', 'eyes', 'mustache']
BTC_Face#46 ['headband', 'round_glasses', 'mustache']
BTC_Face#47 ['headband', 'pixel_sunglasses', 'mustache']
BTC_Face#48 ['headband', 'pirate_eyepatch', 'mustache']
BTC_Face#49 ['headset', 'eyes', 'mustache']
BTC_Face#50 ['headset', 'round_glasses', 'mustache']
BTC_Face#51 ['headset', 'pixel_sunglasses', 'mustache']
BTC_Face#52 ['headset', 'pirate_eyepatch', 'mustache']
BTC_Face#53 ['fedora', 'eyes', 'mustache']
BTC_Face#54 ['fedora', 'round_glasses', 'mustache']
BTC_Face#55 ['fedora', 'pixel_sunglasses', 'mustache']
BTC_Face#56 ['fedora', 'pirate_eyepatch', 'mustache']
BTC_Face#57 ['crown', 'eyes', 'mustache']
BTC_Face#58 ['crown', 'round_glasses', 'mustache']
BTC_Face#59 ['crown', 'pixel_sunglasses', 'mustache']
